"Timestamp","Please enter an ID (this should be the same as the one you entered previoulsy). ","What course are you on?","How important is ethics in data science?","What percentage of software developers are female?","What is your favourite movie?","What is more important: fusion or wrangling?"
"2020/02/18 4:32:17 PM GMT","CJM","Engineering Mathematics","5","30","Big Lebowski","Wrangling"
"2020/02/18 4:33:19 PM GMT","TLW","ComSci","2","10","Cats","Fusion"
"2020/02/18 4:34:29 PM GMT","MM","Digital Health","4","50","One Flew Over The Cuckoo's Nest","Wrangling"
"2020/02/18 4:35:14 PM GMT","Ludo12","EngMaths","4","20","","Fusion"
"2020/02/19 8:59:58 AM GMT","yt15482","Advanced Computing","5","30","Residence Evil","Fusion"
"2020/02/19 9:00:30 AM GMT","pq19689","Advanced Computing Data mining and high performance computing ","5","30","avenger 4","Wrangling"
"2020/02/19 9:03:22 AM GMT","web","applied data science","4","40","2012","Fusion"
"2020/02/19 9:09:37 AM GMT","13257","Mathematics and Computer Science","5","40","Castle in the Sky","Wrangling"
"2020/02/19 9:12:40 AM GMT","1979156","Applied data science","5","30","The Professional","Fusion"
"2020/02/19 9:13:29 AM GMT","S3kr3tSqu1rr3l99","MSc Advanced Computing (Machine Learning, Data Mining and High Performance Computing)","5","20","Hackers","Wrangling"
"2020/02/19 9:19:56 AM GMT","Adam_","Computer Science","5","20","Pirates of the Caribbean: The curse of the black pearl","Fusion"
"2020/02/19 9:28:39 AM GMT","266_nomad","Computer Science","4","30","Weathering with you","Wrangling"
"2020/02/19 9:44:29 AM GMT","arw4","Computer Science with Innovation","5","30","Eternal sunshine of the spotless mind","Fusion"
"2020/02/19 9:45:43 AM GMT","dr16639","Computer Science","5","20","Goal","Wrangling"
"2020/02/19 9:45:54 AM GMT","ZQ5436","Computer science ","4","30","The matrix","Wrangling"
"2020/02/19 9:46:41 AM GMT","ls16821","Engineering mathemtics","5","30","Big fish","Wrangling"
"2020/02/19 9:46:44 AM GMT","cc16504","Engineering Maths","4","30","Parasite","Wrangling"
"2020/02/19 9:47:13 AM GMT","billnyethescienceguy","Maths and computer science","4","20","Kung fu panda","Wrangling"
"2020/02/19 9:47:18 AM GMT","X","Applied data science","4","10","Forrest Gump","Wrangling"
"2020/02/19 9:47:31 AM GMT","Mike","Engineering Maths","1","10","Birdemic","Wrangling"
"2020/02/19 9:48:32 AM GMT","999333999","MSc Advanced Computing - Machine Learning","4","10","Inception","Wrangling"
"2020/02/19 9:49:23 AM GMT","lj16141","Engineering mathematics ","4","30","Dark knight","Wrangling"
"2020/02/19 9:50:03 AM GMT","goatonmoon1965","Adv Com","1","50","Goat On Moon","Wrangling"
"2020/02/19 9:50:39 AM GMT","kung fu panda","Maths & CS","5","30","Harry Potter: Order of the Pheonix","Wrangling"
"2020/02/19 9:51:38 AM GMT","Hugh Janus","MEng Eng Maths","4","10","Nacho Libre","Fusion"
"2020/02/19 9:51:55 AM GMT","gg19687","Machine learning","5","10","","Fusion"
"2020/02/19 9:52:25 AM GMT","Hero","Applied Data Science","5","40","The Dark Knight","Wrangling"
"2020/02/19 9:52:33 AM GMT","Bilbo","Maths and Comp Sci","5","20","Fellowship of the ring ","Wrangling"
"2020/02/19 9:53:15 AM GMT","zj19545","Machine Learning","5","20","My Neighbor Totoro","Fusion"
"2020/02/19 9:55:14 AM GMT","123","advanced conputing","5","20","Home alone 2","Wrangling"
"2020/02/19 9:57:49 AM GMT","Monica","applied data science","5","100","Harry potter","Fusion"
"2020/02/19 9:58:38 AM GMT","1548404","Engineering Mathematics","5","10","Heat","Wrangling"
"2020/02/19 9:59:10 AM GMT","987654321","Eng maths","4","30","Shawshank","Fusion"
"2020/02/19 9:59:12 AM GMT","gs15096","Interactive AI CDT","4","30","Interstellar","Wrangling"
"2020/02/19 9:59:17 AM GMT","sj16765","Engineering Mathematics","4","10","Mad Max: Fury Road","Wrangling"
"2020/02/19 10:00:06 AM GMT","as16165","Computer Science","4","20","Avengers","Wrangling"
"2020/02/19 10:04:27 AM GMT","8008135","Engmaths","5","30","Eyes wide shut","Wrangling"
"2020/02/19 10:33:45 AM GMT","si14458","Engineering Maths MSc","5","20","Reservoir dogs","Fusion"
"2020/02/19 11:16:27 AM GMT","oreOreo","MEng Computer Science","4","20","Sonic the Hedgehog","Fusion"
"2020/02/19 11:43:17 AM GMT","tu19072","MSc Engineering Mathematics","5","40","interstellar","Fusion"
"2020/02/19 2:29:29 PM GMT","un19409","Engineering mathematics","5","","princess mononoke","Fusion"
